State County Code,AQI,ALAND,AWATER,INTPTLAT,INTPTLONG,PCP,TEMP,WIND,Region,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Construction,Manufacturing,Wholesale trade,Retail trade,Information,"Professional scientific and technical services",Administrative and support and waste management and remediation services,Other services (except government and government enterprises),Farm earnings Forestry Fishing Mining Quarrying Oil Gas extraction,Finance Insurance Real estate Rental Leasing,Arts Entertainment Recreation Accommodation Food services,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,State Code,County Code,AQI Label
4027,51.70491803278689,14281265636,13171316,32.773942,-113.910905,3.42,74.4,,6.0,6860818.0,205631.0,33365.0,161386.0,145575.0,108540.0,344212.0,29719.0,181864.0,164026.0,124034.0,1193233.0,135745.0,156389.0,78190.0,89.3,79.7,9.6,3.4,2.3,0.4,1.9,2.6,2.5,21.0,40.3,36.2,4,27,1
5001,33.949579831932766,2560983546,116414557,34.28957,-91.376547,48.12,64.6,,5.0,786692.0,18214.0,43192.0,19474.0,229348.0,35982.0,46369.0,6893.0,12620.0,,15046.0,89483.0,22435.0,8063.0,,,,,,,,,,,,,,5,1,0
5003,33.932203389830505,2396641860,39310599,33.190835,-91.772267,63.52,65.9,,5.0,683629.0,20492.0,33361.0,41847.0,140346.0,,22155.0,1418.0,,8352.0,16049.0,41762.0,10625.0,9526.0,,,,,,,,,,,,,,5,3,0
5019,33.284507042253516,2243121980,43395986,34.053315999999995,-93.176208,55.71,64.1,,5.0,728752.0,22657.0,32165.0,9522.0,96534.0,2453.0,43643.0,,17048.0,9554.0,,19236.0,16946.0,20381.0,,,,,,,,,,,,,,5,19,0
5035,39.614754098360656,1580746758,67440988,35.211878000000006,-90.315331,57.91,63.9,,5.0,1714869.0,49235.0,34830.0,54722.0,138066.0,63230.0,68771.0,2856.0,20935.0,41180.0,57146.0,19449.02,36681.0,61563.0,,,,,,,,,,,,,,5,35,1
5051,35.47899159663866,1755530788,147143529,34.578860999999996,-93.146915,52.77,63.0,,5.0,3760572.0,97477.0,38579.0,175874.0,146771.0,66449.0,212187.0,24736.0,63268.0,97181.0,104054.0,17085.0,119988.0,175272.0,42086.0,89.2,80.6,8.6,0.0,3.8,0.1,1.2,5.8,2.5,23.3,41.1,33.0,5,51,0
5067,33.495652173913044,1641888776,19587819,35.596605,-91.223178,48.76,62.2,,5.0,575745.0,17221.0,33433.0,9480.0,122079.0,29322.0,24616.0,6466.0,5964.0,1465.0,12105.0,36679.01,12865.0,,,,,,,,,,,,,,,5,67,0
5101,37.142076502732245,2126136208,5930334,35.910742,-93.215899,41.9,58.7,,5.0,213451.0,7936.0,26897.0,,1813.0,,,56.0,,,,-2078.98,,,,,,,,,,,,,,,,5,101,0
5113,40.63661202185792,2221392380,12374241,34.490915,-94.230884,48.99,62.2,,5.0,578398.0,20173.0,28672.0,17482.0,55205.0,2922.0,22502.0,3269.0,5375.0,,17858.0,28987.0,13823.0,8201.01,,,,,,,,,,,,,,5,113,1
5119,44.866120218579226,1964693964,127125478,34.770311,-92.312996,53.27,63.7,3.810006838797812,5.0,18810571.0,393250.0,47834.0,768005.0,918039.0,1076213.0,1223938.0,535142.0,1457038.0,656461.0,619323.0,67227.0,1745114.0,529584.0,181380.0,93.2,83.7,9.5,0.9,1.4,0.1,1.0,3.4,2.5,27.2,44.7,25.6,5,119,1
5139,14.691256830601091,2691555117,41401587,33.168219,-92.598145,60.06,65.6,,5.0,1784179.0,39887.0,44731.0,127491.0,269821.0,36829.0,71512.0,5783.0,21343.0,51167.0,45569.0,94608.0,44531.0,26595.0,,,,,,,,,,,,,,5,139,0
5143,38.950819672131146,2439809347,26920590,35.971209,-94.218417,36.32,59.5,,5.0,8386655.0,228049.0,36776.0,445520.0,759026.0,391249.0,483254.0,63108.0,316406.0,227736.0,220186.0,47821.0,343717.0,277645.0,106794.0,91.9,79.4,12.5,0.9,2.1,0.5,0.9,3.7,7.1,20.9,42.8,29.2,5,143,0
6001,50.05191256830601,1914242789,212979931,37.647139,-121.91248799999998,22.55,60.4,,8.0,108556593.0,1647704.0,65884.0,5128508.0,8934392.0,4244134.0,4180194.0,5105190.0,11269198.0,2773023.0,2625668.0,103661.0,4615173.0,3542415.0,766267.0,70.5,59.9,10.6,15.1,3.3,2.4,1.6,7.2,4.8,22.5,37.8,34.9,6,1,1
6003,26.20833333333333,1912292633,12557304,38.621783,-119.79835200000001,39.63,45.9,,8.0,86548.0,1071.0,80810.0,1833.0,,56.0,848.0,,,,1629.0,303.0,605.0,,,,,,,,,,,,,,,6,3,0
6005,40.99180327868852,1539933576,29470568,38.44355,-120.653856,41.01,59.2,1.8692302049180312,8.0,1599511.0,37383.0,42787.0,62782.0,44793.0,,61810.0,18143.0,29017.0,,36945.0,11596.02,27726.0,28629.0,,,,,,,,,,,,,,6,5,1
6007,56.989071038251375,4238423343,105325812,39.665959,-121.601919,55.96,60.8,3.6771502337536455,8.0,9465874.0,226864.0,41725.0,354127.0,278929.0,160567.0,479972.0,73575.0,237908.0,151739.0,299686.0,277923.0,320503.0,223218.0,89972.0,85.7,74.7,11.0,1.3,2.6,3.9,0.7,5.7,2.9,16.1,41.0,40.0,6,7,1
6009,51.644808743169406,2641820834,43806026,38.1839,-120.56144099999999,40.49,59.5,2.5114111693989067,8.0,2193477.0,45171.0,48559.0,89694.0,17388.0,17301.0,53339.0,15910.0,41514.0,20922.0,47670.0,6102.02,24909.0,39547.0,,,,,,,,,,,,,,6,9,1
6011,44.12021857923497,2980372757,14581043,39.177739,-122.237563,25.49,62.5,2.8530889836065585,8.0,1015072.0,21588.0,47020.0,14910.0,75764.0,50006.0,42754.0,1696.0,7167.0,7617.0,17317.0,202360.02,33739.0,19748.0,,,,,,,,,,,,,,6,11,1
6013,43.33333333333334,1871930816,209819213,37.919478999999995,-121.95154299999999,22.55,61.2,,8.0,80412324.0,1135127.0,70840.0,3096718.0,2142363.0,1510787.0,2088671.0,1208393.0,4077272.0,1655480.0,1566393.0,251373.0,4125582.0,1530398.0,535228.0,79.1,67.5,11.6,10.4,2.2,0.6,1.5,6.2,2.1,15.7,40.8,41.4,6,13,1
6015,21.33333333333333,2606100217,578760364,41.749903,-123.980998,97.59,52.9,,8.0,941853.0,27540.0,34199.0,16594.0,6588.0,,37544.0,4846.0,11703.0,,16441.0,28000.01,11760.0,,,,,,,,,,,,,,,6,15,0
6017,59.795081967213115,4423349463,203269403,38.785532,-120.534398,53.14,55.3,3.104633917903929,8.0,11361318.0,185625.0,61206.0,519657.0,214028.0,97336.0,286460.0,90815.0,325865.0,241986.0,214504.0,33490.0,543425.0,312995.0,79778.0,87.1,79.0,8.2,0.9,2.4,1.0,0.6,8.0,1.8,11.4,40.5,46.3,6,17,1
6019,82.4207650273224,15433177265,135374444,36.761006,-119.655019,19.6,57.3,3.3851676171958625,8.0,39295335.0,979915.0,40101.0,1432452.0,1626799.0,1207751.0,1769473.0,403775.0,1058840.0,870551.0,1077831.0,2854819.0,1333612.0,897513.0,382801.0,90.2,77.9,12.3,1.0,1.7,0.6,1.9,4.6,3.2,20.7,40.5,35.6,6,19,1
6021,43.709944751381215,3403104376,33749275,39.602546000000004,-122.4017,29.61,61.1,4.598544576502733,8.0,1174503.0,28085.0,41820.0,35073.0,46706.0,29427.0,38639.0,183.0,9965.0,12744.0,31732.0,220060.0,17039.0,19017.0,,,,,,,,,,,,,,6,21,1
6023,37.35245901639344,9240992572,1254297982,40.706672999999995,-123.92581799999999,79.86,55.8,,8.0,5954135.0,136646.0,43573.0,306990.0,125438.0,79948.0,366691.0,66729.0,142575.0,96795.0,207948.0,102574.0,155328.0,187702.0,60227.0,84.2,73.1,11.0,1.7,5.3,0.8,1.4,6.6,1.8,19.9,42.8,35.5,6,23,0
6025,69.97540983606558,10817291640,790230304,33.040814000000005,-115.3554,3.06,75.5,4.1543086967830245,8.0,6172007.0,180883.0,34122.0,114358.0,72750.0,158739.0,328603.0,20319.0,73689.0,79658.0,143015.0,827843.0,100491.0,116958.0,60013.0,89.6,81.8,7.8,0.2,3.1,0.8,1.6,4.7,1.5,15.0,37.4,46.1,6,25,1
6027,56.475409836065566,26368508405,119088171,36.561977,-117.403927,4.91,62.3,5.7048169362765435,8.0,1001021.0,18144.0,55171.0,30896.0,143952.0,7891.0,45970.0,11626.0,13359.0,,25270.0,2840.0200000000004,11254.0,53675.0,,,,,,,,,,,,,,6,27,1
6029,85.14480874316939,21061589620,79574760,35.346629,-118.729506,9.21,63.6,4.537893671433003,8.0,33368619.0,884788.0,37714.0,1282338.0,1117117.0,777631.0,1585305.0,176909.0,952174.0,818851.0,1085706.0,4705079.0,807541.0,688614.0,331233.0,92.4,81.2,11.2,0.7,1.5,0.4,1.6,3.4,2.5,20.1,41.8,35.6,6,29,1
6031,74.8360655737705,3598583450,5468555,36.072478000000004,-119.81553000000001,7.61,65.7,3.7922144480874413,8.0,5135686.0,149785.0,34287.0,91564.0,290999.0,48259.0,169225.0,13448.0,49451.0,39124.0,92677.0,282198.02,70597.0,85641.0,58020.0,89.1,75.4,13.7,0.1,2.3,1.8,1.3,5.5,1.2,16.2,50.0,32.6,6,31,1
6033,33.76438356164383,3254288286,188912510,39.094802,-122.746757,55.34,58.0,,8.0,2560157.0,64116.0,39930.0,74799.0,22818.0,10343.0,103140.0,13641.0,28775.0,15646.0,55344.0,98419.0,30363.0,29455.0,,,,,,,,,,4.3,20.7,32.9,42.0,6,33,0
6037,86.06830601092895,10510651024,1794730436,34.196397999999995,-118.26186200000001,12.59,63.7,2.8626569849955863,8.0,563907868.0,10137915.0,55624.0,14609795.0,32500170.0,20785393.0,23127358.0,37954672.0,44715693.0,16389364.0,16379891.0,1488694.0,39629239.0,28631283.0,4769841.0,83.5,73.9,9.6,6.0,2.8,0.8,1.5,5.4,3.8,21.6,37.9,36.7,6,37,1
6039,67.15300546448087,5535098260,41957139,37.209821000000005,-119.749802,24.08,57.9,3.722726505464473,8.0,5805622.0,154697.0,37529.0,173479.0,270995.0,71135.0,180235.0,32530.0,50659.0,70096.0,140393.0,813584.02,78609.0,98726.0,54476.0,92.5,76.8,15.7,0.2,2.1,0.7,2.2,2.3,1.8,14.2,37.2,46.8,6,39,1
6041,33.67213114754098,1348061297,796944835,38.051817,-122.745974,40.81,57.1,,8.0,30222883.0,260651.0,115952.0,978085.0,926545.0,471067.0,908282.0,626209.0,2139064.0,541124.0,743540.0,33492.020000000004,1400591.0,994667.0,128386.0,73.5,66.7,6.8,8.9,3.2,2.0,0.9,11.4,1.4,20.4,43.2,35.0,6,41,0
6043,54.15573770491803,3752420463,36268135,37.570033,-119.91286000000001,34.7,56.9,4.908202009685231,8.0,861473.0,17410.0,49482.0,20333.0,7895.0,,31173.0,5612.0,10827.0,,16939.0,6886.02,7818.0,75983.0,,,,,,,,,,,,,,6,43,1
6045,34.664835164835175,9081421729,962951511,39.432388,-123.442881,65.92,56.6,,8.0,3981438.0,87628.0,45436.0,186004.0,185912.0,52703.0,241818.0,22036.0,77686.0,77917.0,123302.0,92325.0,75878.0,166651.0,35871.0,83.3,74.4,8.9,0.2,6.9,0.4,0.7,8.5,2.2,26.4,40.3,31.0,6,45,0
6047,60.84426229508197,5012175306,112509475,37.194806,-120.722802,14.46,64.0,2.9615028797814222,8.0,9888269.0,268672.0,36804.0,214000.0,587321.0,134927.0,340937.0,22736.0,97343.0,72893.0,184744.0,964222.02,164097.0,144491.0,96667.0,88.2,79.9,8.3,1.9,2.8,0.2,3.8,3.1,1.9,16.2,39.1,42.9,6,47,1
6051,117.48907103825137,7896839510,214694734,37.915836,-118.87516699999999,15.22,46.3,5.3313141413043486,8.0,673406.0,13981.0,48166.0,36818.0,6670.0,,29295.0,4601.0,,10779.0,21328.0,5722.02,21034.0,134365.0,,,,,,,,,,,,,,6,51,1
6053,40.71857923497268,8496669426,1270747469,36.240107,-121.315572,20.86,60.0,,8.0,22827059.0,435232.0,52448.0,673166.0,396667.0,628988.0,822258.0,182424.0,588965.0,399275.0,529439.0,3932614.0,685377.0,1265165.0,191409.0,81.2,70.0,11.2,1.8,3.6,0.6,8.3,4.4,2.0,16.4,34.2,47.4,6,53,1
6055,39.71857923497268,1938165958,104249021,38.5071,-122.32590400000001,36.01,60.4,,8.0,9355176.0,142166.0,65805.0,532399.0,1654073.0,242926.0,344081.0,39948.0,379507.0,269343.0,243972.0,85432.01999999999,412337.0,551458.0,72087.0,84.7,72.3,12.4,2.1,3.9,1.2,0.8,7.3,2.8,15.3,35.4,46.5,6,55,1
6057,56.46448087431694,2480606160,41513172,39.297508,-120.77134299999999,65.78,53.4,,8.0,5569234.0,99107.0,56194.0,451969.0,119379.0,,215876.0,44407.0,196716.0,81768.0,173912.0,15765.0,160513.0,182576.0,40111.0,79.3,70.9,8.4,0.8,4.1,1.5,2.8,11.3,1.0,15.9,37.9,45.2,6,57,1
6059,58.5655737704918,2047702298,407606601,33.675686999999996,-117.777207,10.92,66.1,2.604854217391304,8.0,196920661.0,3172532.0,62071.0,10767164.0,15219339.0,10260756.0,8125524.0,3682284.0,17958633.0,8320180.0,5007246.0,233075.0,18945153.0,8170490.0,1555629.0,88.2,78.4,9.7,2.2,1.7,0.7,1.1,6.1,1.5,14.1,40.6,43.8,6,59,1
6061,58.24043715846994,3644333049,246486852,39.062032,-120.722718,57.28,54.9,3.9601173469945334,8.0,22968749.0,380531.0,60360.0,1456794.0,740833.0,420251.0,1052245.0,301114.0,1022219.0,635168.0,508592.0,12273.0,1511543.0,791254.0,172306.0,86.9,78.9,8.0,1.0,1.4,0.4,1.3,8.9,1.3,12.8,41.6,44.3,6,61,1
6063,40.0,6612400993,156387635,39.992295,-120.824371,52.75,48.9,,8.0,912276.0,18627.0,48976.0,39108.0,37921.0,3960.0,29337.0,5961.0,16357.0,,16310.0,4175.02,13730.0,32075.0,,,,,,,,,,,,,,6,63,1
6065,93.6448087431694,18664206749,250926952,33.729828000000005,-116.00223899999999,8.04,70.1,4.429497590849671,8.0,87827068.0,2387741.0,36782.0,5142234.0,3072213.0,2019118.0,4060673.0,606559.0,1940266.0,2375084.0,2649112.0,688112.0,2145429.0,2860478.0,976755.0,90.5,78.5,12.0,1.0,1.5,0.3,1.5,5.3,1.3,14.2,36.3,48.1,6,65,1
6067,60.401639344262286,2499183617,76073827,38.450010999999996,-121.340441,22.67,63.5,3.4166467850838513,8.0,72878458.0,1514460.0,48122.0,3364249.0,1946821.0,1478924.0,3005940.0,851621.0,5502886.0,2518805.0,2207610.0,158977.0,3762999.0,1936884.0,675257.0,87.3,77.3,10.0,2.2,1.8,1.0,1.1,6.6,2.6,20.5,42.9,34.1,6,67,1
6069,42.05464480874317,3596755292,4555000,36.610702,-121.085296,17.65,60.4,3.923623120547944,8.0,2756362.0,59414.0,46392.0,133035.0,168865.0,,153432.0,,,53396.0,55065.0,180883.0,52262.0,44820.0,,,,,,,,,,,,,,6,69,1
6071,97.70765027322405,51948120575,123845026,34.85722,-116.181197,6.6,68.1,3.79307120024272,8.0,78830801.0,2140096.0,36835.0,3333340.0,4054586.0,3167556.0,3860375.0,545912.0,1904326.0,2392124.0,2352919.0,148307.0,2173463.0,2003315.0,877712.0,90.0,78.3,11.7,1.6,1.4,0.3,0.9,5.8,1.7,15.9,35.4,47.0,6,71,1
